block_id,athlete_id,block_name,start_date,end_date,block_focus,planned_frequency_per_week,notes
271,68,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 68
272,68,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 68
273,69,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 69
274,69,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 69
275,69,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 69
276,69,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 69
277,70,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 70
278,70,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 70
279,70,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 70
280,70,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 70
281,71,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 71
282,71,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 71
283,71,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 71
284,71,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 71
285,72,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 72
286,72,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 72
287,72,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 72
288,72,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 72
289,73,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 73
290,73,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 73
291,73,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 73
292,73,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 73
293,74,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 74
294,74,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 74
295,74,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 74
296,74,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 74
297,75,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 75
298,75,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 75
299,75,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 75
300,75,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 75
301,76,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 76
302,76,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 76
303,76,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 76
304,76,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 76
305,77,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 77
306,77,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 77
307,77,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 77
308,77,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 77
309,78,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 78
310,78,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 78
311,78,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 78
312,78,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 78
313,79,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 79
314,79,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 79
315,79,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 79
316,79,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 79
317,80,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 80
318,80,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 80
319,80,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 80
320,80,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 80
321,81,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 81
322,81,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 81
323,81,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 81
324,81,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 81
325,82,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 82
326,82,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 82
327,82,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 82
328,82,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 82
329,83,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 83
330,83,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 83
331,83,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 83
332,83,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 83
333,84,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 84
334,84,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 84
335,84,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 84
336,84,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 84
337,85,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 85
338,85,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 85
339,85,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 85
340,85,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 85
341,86,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 86
342,86,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 86
343,86,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 86
344,86,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 86
345,87,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 87
346,87,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 87
347,87,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 87
348,87,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 87
349,88,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 88
350,88,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 88
351,88,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 88
352,88,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 88
353,89,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 89
354,89,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 89
355,89,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 89
356,89,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 89
357,90,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 90
358,90,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 90
359,90,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 90
360,90,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 90
361,91,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 91
362,91,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 91
363,91,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 91
364,91,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 91
365,92,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 92
366,92,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 92
367,92,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 92
368,92,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 92
369,93,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 93
370,93,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 93
371,93,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 93
372,93,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 93
373,94,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 94
374,94,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 94
375,94,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 94
376,94,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 94
377,95,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 95
378,95,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 95
379,95,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 95
380,95,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 95
381,96,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 96
382,96,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 96
383,96,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 96
384,96,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 96
385,97,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 97
386,97,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 97
387,97,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 97
388,97,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 97
389,98,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 98
390,98,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 98
391,98,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 98
392,98,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 98
393,99,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 99
394,99,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 99
395,99,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 99
396,99,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 99
397,100,Base Strength,2026-01-01,2026-01-25,Build lower-body strength foundation,4,Base Strength phase for Athlete 100
398,100,Max Strength,2026-01-26,2026-02-19,Increase force production,4,Max Strength phase for Athlete 100
399,100,Power Development,2026-02-20,2026-03-16,Convert strength into explosive power,5,Power Development phase for Athlete 100
400,100,Peak Performance,2026-03-17,2026-04-10,Maximize jump performance and recovery,4,Peak Performance phase for Athlete 100
